	max_occurrence	max_field	in_fields	not_in_fields	rel_013D a	rel_013E a	rel_013F a	rel_032@ a	rel_032W a	rel_041A a	rel_041A g	rel_044K a	rel_044K g	rel_044L a	rel_044N a	rel_044S a	rel_044Z a	rel_045D a	rel_045Q j
Otscherk	27.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.1e-05		5.4e-05							
Palliata	8.0	041A a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						5.6e-05		1e-05			1.8e-05				
Paradiesspiel	4.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.1e-05		8e-06							
Partimen	4.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		8e-06							
Pasquill	2.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								4e-06							
Patriotisches Lied	83.0	044K a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						4.2e-05		0.000167			3.6e-05				
Pijut	38.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000125		7.6e-05							
Poésie pure	19.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000132		2e-05							
Politische Lyrik	291.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000836		0.000586		0.001384	7.3e-05				
Politisches Lied	396.0	044K a	['041A a', '044K a', '044L a', '044N a', '044Z a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '045D a', '045Q j']						0.000557		0.000797		0.000872	0.000181		0.001258		
Praetexta	7.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		1.4e-05		0.000205					
Preislied	8.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.8e-05		1.6e-05							
Priamel	12.0	044K a	['044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']								2.4e-05		5.1e-05					
Prosaschwank	6.0	041A a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						4.2e-05		1.2e-05		0.000103					
Prozessionsspiel	6.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		1.2e-05							
Psychologischer Roman	93.0	044N a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						6.3e-05		4e-05			0.001687				
Räuberroman	4.0	041A a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.8e-05		8e-06		0.000154					
Refrán	57.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						9.1e-05		0.000115		0.000103					
Regionalroman	24.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						3.5e-05		4.8e-05		5.1e-05					
