	max_occurrence	max_field	in_fields	not_in_fields	rel_013D a	rel_013E a	rel_013F a	rel_032@ a	rel_032W a	rel_041A a	rel_041A g	rel_044K a	rel_044K g	rel_044L a	rel_044N a	rel_044S a	rel_044Z a	rel_045D a	rel_045Q j
Hermetische Literatur	26.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						4.2e-05		5.2e-05							
Hirtenlied	11.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.1e-05		2.2e-05		5.1e-05					
Hirtenspiel	8.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						4.2e-05		1.6e-05							
Historische Literatur	205.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000258		0.000412		0.000154	3.6e-05				
Historische Lyrik	26.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						4.9e-05		5.2e-05		5.1e-05					
Historische Novelle	17.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-05		3.4e-05		0.000103					
Historische Prosa	41.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000104		8.2e-05							
Historische Sage	41.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000118		8.2e-05		0.000308					
Historischer Essay	3.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								6e-06							
Historisches Epos	17.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.8e-05		3.4e-05							
Historisches Exempel	12.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.1e-05		2.4e-05							
Historisches Volkslied	43.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7.7e-05		8.7e-05		5.1e-05					
Historisches Volksschauspiel	1.0	041A a	['041A a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K a', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06									
Höfische Epik	119.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000237		0.000239		0.000359	1.8e-05				
Höfische Lyrik	52.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						8.4e-05		0.000105		0.000205					
Hörspieltheorie	2.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		4e-06							
Horrorerzählung	160.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000383		0.000322		0.000205	7.3e-05				
Horrorroman	30.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000153		6e-05		0.000154	9.1e-05				
Ich-Roman	12.0	044K a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		2.4e-05			5.4e-05				
Illustriertenroman	9.0	041A a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						6.3e-05		1e-05		0.000103					
Indianerroman	6.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						4.2e-05		8e-06							
Industrieliteratur	14.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.1e-05		2.8e-05							
Interlude	11.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						5.6e-05		2.2e-05							
Joik	43.0	044K a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		8.7e-05			1.8e-05				
Jugendtagebuch	11.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.8e-05		2.2e-05		0.000359					
Jugendtheater	1266.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.001957		0.002547		0.001128	0.000399				
Kalendergeschichte	25.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000118		5e-05		5.1e-05	1.8e-05				
Kanzone	35.0	044K a	['032W a', '041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']					0.01875	7e-05		7e-05							
Kasus	3.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.1e-05		6e-06							
